tau,accuracy_pct,allow_recall,block_precision,domain_acc_pct,generic_acc_pct,junk_acc_pct,false_negatives_allow,false_positives_allow,false_positives_block
0.05,93.27731092436974,0.8666666666666667,0.9230769230769231,86.66666666666667,100.0,94.73684210526315,6,0,6
0.1,92.43697478991596,0.8,0.891566265060241,80.0,100.0,100.0,9,0,9
0.15,84.87394957983193,0.6,0.8043478260869565,60.0,100.0,100.0,18,0,18
0.2,84.87394957983193,0.6,0.8043478260869565,60.0,100.0,100.0,18,0,18
0.25,82.35294117647058,0.5333333333333333,0.7789473684210526,53.333333333333336,100.0,100.0,21,0,21
0.3,77.31092436974791,0.4,0.7326732673267327,40.0,100.0,100.0,27,0,27
0.35,74.78991596638656,0.3333333333333333,0.7115384615384616,33.33333333333333,100.0,100.0,30,0,30
0.4,69.74789915966386,0.2,0.6727272727272727,20.0,100.0,100.0,36,0,36
